1,"Fairly - четко, довольно, красиво",personality
2,"Assertive - настойчивый; 
in an assertive form",
3,Arrogant - самонадеянный,
4,Insincere - лицемерный,
5,Possessive - собственник,
6,"Reserved - сдержанный, скрытный, замкнутый",
7,"Conscientious - добросовестный, педантичный",
8,Vain - самодовольный,
9,"Sympathy - сочуствие, симпатия
a man of wide sympathies — отзывчивый человек",
10,Cough - кашель,illness
11,Blister - волдырь,
12,Swollen - опухать,
13,Swallow - глотать,
14,Unconscious - без сознания,
15,Sore throat - ангина,
16,Fainte - слабость,
17,Dizzy - головокружение,
18,Vomit - рвота,
19,Flu - грипп,
20,Stroke - приступ,
21,"Spained - вывих, растижение сустава",
22,Bruise - синяк,
23,Bandage - бинт,
24,Stitches - накладывать шов,
25,Wound - рана,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
